Time,x,y,z
0,17,39,-1024
500000,17,39,-1024
1000000,15,39,-1013
1500000,23,37,-1032
2000000,25,37,-1026
2500000,19,39,-1016
3000000,21,39,-1020
3500000,19,42,-1022
4000000,19,37,-1022
4500000,19,37,-1018
5000000,25,37,-1018
5500000,27,50,-1024
6000000,23,39,-1026
6500000,17,37,-1024
7000000,17,37,-1024
7329200,23,42,-1020
7500000,19,37,-1028
7829200,17,48,-1022
8329200,15,42,-1032
8829200,23,35,-1026
9329200,25,40,-1015
9829200,19,42,-1022
10329200,23,42,-1022
10829200,27,39,-1032
11329200,21,40,-1022
11829200,23,37,-1026
12329200,21,35,-1022
12829200,23,42,-1026
13329200,17,44,-1028
13829200,23,40,-1026
14329200,17,42,-1032
14829200,23,37,-1032
15388400,13,42,-1020
15888400,19,39,-1020
16388400,19,40,-1022
16888400,15,39,-1028
17388400,19,37,-1028
17888400,19,44,-1030
18388400,21,29,-1026
18888400,19,35,-1022
19388400,21,37,-1026
19888400,13,44,-1026
20388400,23,40,-1028
20888400,25,39,-1024
21388400,31,48,-1028
21888400,29,40,-1028
22388400,15,33,-1026
22888400,25,39,-1020
23412200,17,37,-1026
23912200,21,42,-1028
24412200,19,44,-1026
24912200,17,42,-1026
25412200,25,42,-1022
25912200,19,40,-1018
26412200,23,44,-1024
26912200,21,42,-1022
27412200,21,39,-1026
27912200,19,39,-1026
28412200,17,40,-1030
28912200,17,44,-1013
29412200,21,42,-1018
29912200,19,42,-1022
30412200,17,44,-1026
30912200,19,39,-1028
31445300,25,31,-1016
31945300,23,40,-1030
32445300,15,44,-1026
32945300,15,39,-1030
33445300,17,40,-1024
33945300,21,35,-1024
34445300,21,44,-1030
34945300,19,33,-1030
35445300,13,44,-1022
35945300,19,42,-1026
36445300,17,48,-1024
36945300,21,40,-1022
37445300,17,37,-1024
37945300,21,44,-1028
38445300,25,40,-1024
38945300,25,37,-1024
39387300,21,40,-1024
39887300,15,46,-1024
40387300,17,35,-1026
40887300,23,37,-1030
41387300,27,37,-1022
41887300,21,37,-1016
42387300,23,39,-1022
42887300,17,39,-1026
43387300,15,39,-1030
43887300,17,46,-1028
44387300,25,39,-1026
44887300,19,44,-1028
45387300,19,42,-1022
45887300,15,39,-1026
46387300,21,42,-1018
46887300,25,40,-1034
47301000,17,44,-1022
47801000,21,46,-1018
48301000,19,37,-1024
48801000,19,37,-1022
49301000,33,39,-1016
49801000,25,48,-1026
50301000,19,42,-1022
50801000,23,40,-1028
51301000,19,39,-1030
51801000,21,39,-1020
52301000,21,46,-1022
52801000,25,42,-1020
53301000,17,35,-1026
53801000,17,35,-1022
54301000,23,40,-1024
54801000,13,42,-1026
55286700,17,40,-1026
55786700,21,42,-1026
56286700,15,40,-1026
56786700,19,42,-1030
57286700,23,42,-1024
57786700,21,48,-1024
58286700,17,31,-1020
58786700,25,42,-1024
59286700,17,40,-1022
59786700,19,39,-1024
60286700,17,35,-1026
60786700,13,40,-1030
61286700,17,42,-1016
61786700,27,40,-1022
62286700,25,33,-1022
62786700,25,42,-1020
63285800,23,46,-1024
63785800,19,42,-1026
64285800,21,37,-1026
64785800,17,42,-1024
65285800,23,44,-1030
65785800,25,40,-1024
66285800,27,46,-1028
66785800,19,44,-1028
67285800,17,40,-1018
67785800,13,40,-1030
68285800,21,35,-1024
68785800,19,46,-1018
69285800,23,50,-1030
69785800,17,39,-1028
70285800,23,39,-1024
70785800,21,39,-1028
70837800,13,37,-1028
71337800,29,39,-1024
71837800,17,35,-1030
72337800,17,37,-1030
72837800,19,39,-1026
73337800,19,40,-1024
73837800,17,37,-1030
74337800,23,46,-1032
74837800,25,35,-1028
75337800,15,42,-1024
75837800,19,37,-1022
76337800,25,39,-1030
76837800,23,31,-1032
77337800,23,42,-1022
77837800,19,44,-1028
78337800,21,40,-1024
78908600,21,46,-1024
79408600,21,39,-1026
79908600,21,44,-1022
80408600,23,44,-1018
80908600,19,37,-1022
81408600,19,39,-1020
81908600,23,40,-1020
82408600,17,37,-1030
82908600,27,39,-1024
83408600,25,40,-1026
83908600,23,44,-1024
84408600,23,40,-1020
84908600,23,40,-1026
85408600,19,37,-1026
85908600,21,48,-1022
86408600,21,39,-1022
